IRI 	 Label 	 Definition
http://purl.org/utmb/ndkg.owl#KGN_0000201	Vestibular Gain Change	"The relationship between accelerations, including gravitational, and vestibular responses."
http://purl.org/utmb/ndkg.owl#KGN_0000322	Estimated Dose Rate	Estimated dose of ionizing radiation absorbed or delivered per unit of time.
http://purl.org/utmb/ndkg.owl#KGN_0000443	Team Monitoring	"Observing changes in team task performance, team processes, and interpersonal dynamics through surveys and unobtrusive tools such as semantic analysis."
http://purl.org/utmb/ndkg.owl#KGN_0000200	Vehicle Systems	"The set of systems, subsystems, and components (e.g., thermal control system, pump module, flow control valve) that make up a whole vehicle. Also, may refer to vehicle systems across multiple vehicles (Orion,Gateway, HLS)."
http://purl.org/utmb/ndkg.owl#KGN_0000321	Estimated Career Dose	The amount of radiation dose estimated to be received by an astronaut over the course of their career.
http://purl.org/utmb/ndkg.owl#KGN_0000442	Team Functionality	"The degree of coordination, cooperation, communication, and psychosocial adaptation that enables a team to successfully complete tasks and live and work as a team"
http://purl.org/utmb/ndkg.owl#KGN_0000441	Team Composition	"The mix of individuals on a team that evolves to meet mission demands pre-mission through post mission phases. This includes those the ground support, intelligent systems, and sub-teams; composition factors for mission performance include personality traits,values, culture, demographics, knowledge, skills, and abilities."
http://purl.org/utmb/ndkg.owl#KGN_0000315	Elimination	Describes the process by which a pharmacologic substance is pulled or removed from the body
http://purl.org/utmb/ndkg.owl#KGN_0000436	System Complexity	"A measure of the number, diversity, and intricacy of vehicle systems and their interactions."
http://snomed.info/id/212954004	DCS(Diagnosing Decompression Sickness) II	"Type 2 symptoms are considered more serious. They typically fall into three categories: neurological, inner ear and cardiopulmonary. Neurological symptoms may include numbness; paresthesia, or an altered sensation, such as tingling; muscle weakness; an impaired gait, or difficulty walking; problems with physical coordination or bladder control; paralysis; or a change in mental status, such as confusion or lack of alertness. Inner-ear symptoms may include ringing in the ears, known as “tinnitus”; hearing loss; vertigo or dizziness; nausea; vomiting; and impaired balance."
http://purl.org/utmb/ndkg.owl#KGN_0000314	Electrical System Design	"Plan or specification for electrical systems, groups of connected electrical components, to carry out some operation."
http://purl.org/utmb/ndkg.owl#KGN_0000435	Surveillance	
http://purl.org/utmb/ndkg.owl#KGN_0000313	Electrical Hardware	"Tools, machinery, and other durable equipment that functionally rely on electric energy to drive their core parts."
http://purl.org/utmb/ndkg.owl#KGN_0000434	Surface Dust Level	"The quantity of particulate matter on the surfaces within the within the vehicle, suit, or habitat in-mission."
http://purl.org/utmb/ndkg.owl#KGN_0000433	Surface Contamination	"Harmful or poisonous substances affecting surface quality within the vehicle, suit, or habitat in-mission."
http://purl.org/utmb/ndkg.owl#KGN_0000318	Environmental Control	Ability to regulate the surroundings or conditions in which the crew lives and operates.
http://purl.org/utmb/ndkg.owl#KGN_0000317	Environmental Conditions	Nominal or off-nominal conditions within the vehicle.
http://purl.org/utmb/ndkg.owl#KGN_0000438	System Telemetry	Vehicle/system state information received from distal sensors.
http://purl.org/utmb/ndkg.owl#KGN_0000316	Endothelial Damage	Describes the process by which a pharmacologic substance is pulled or removed from the body
http://purl.org/utmb/ndkg.owl#KGN_0000437	System Knowledge Resources	"The information that describes and fully specifies the system, including analyses, drawings, and requirements."
http://purl.obolibrary.org/obo/NCIT_C67194	Energy (Calorie)	The Calorie Is a Unit of Energy. A calorie is the amount of energy in the form of heat that is required to heat one gram of water one degree Celsius.
http://snomed.info/id/422400008	Vomit	"Vomiting (also known as emesis and throwing up) is the involuntary, forceful expulsion of the contents of one's stomach through the mouth and sometimes the nose."
http://schema.org/workload	Workload	"Workload is the user’s perceived level of mental effort that is influenced by many factors, particularly task load and task design."
http://purl.org/utmb/ndkg.owl#KGN_0000311	Effective Mission Duration	"The total time the crew is away from the surface of Earth, measured from launch of the Earth launch vehicle to landing or splashdown of the Earth return spacecraft. (NASA-STD-3001)"
http://purl.org/utmb/ndkg.owl#KGN_0000432	Suit Vehicle/Habitat Contact	"Suit, vehicle, and/or habitat exposure to charged surfaces"
http://purl.org/utmb/ndkg.owl#KGN_0000310	Effective Gravity Level	The period encompassing the exposure of crew to altered gravity during the design mission duration from launch to terrestrial landing.
http://purl.org/utmb/ndkg.owl#KGN_0000431	Suit Damage	Harm or injury to the flight or EVA suit.
http://purl.org/utmb/ndkg.owl#KGN_0000304	Dust Source	Event or trigger that introduces dust to the habitat.
http://purl.org/utmb/ndkg.owl#KGN_0000302	Dust Monitor	A device utilized to provide data on exposure levels of celestial dust within the habitat.
http://purl.org/utmb/ndkg.owl#KGN_0000423	Solar Cycle 	The solar cycle is the cycle that the Sun’s magnetic field goes through approximately every 11 years.
http://purl.org/utmb/ndkg.owl#KGN_0000301	Distribution	One of four pharmacokinetic parameters that describes the transport process of a drug which deliver it to body areas away from the absorption site.
http://purl.org/utmb/ndkg.owl#KGN_0000308	ECLS System	"Environmental Control and Life Support (ECLS) Systems designed to distribute air and remove contaminants. The elements include all hardware, software, equipment, facilities, personnel, processes, and procedures needed for this purpose."
http://purl.org/utmb/ndkg.owl#KGN_0000429	Strobe Goggles	"Goggles that flash between a transparent and opaque view with the goal of helping people who are undergoing vestibular readaptation to maintain gaze without suffering from retinal slip, or an object slipping over your retina instead of stabilizing there."
http://purl.org/utmb/ndkg.owl#KGN_0000307	Dysrhythmia Treatment	Medical management and care of an abnormal cardiac rhythm with medication or procedure during a space flight mission.
http://purl.org/utmb/ndkg.owl#KGN_0000428	Stress Relieving VR	Virtual reality (VR) systems and/or programming that mitigates stress.
http://purl.org/utmb/ndkg.owl#KGN_0000306	Dysrhythmia Monitor	"Ability to observe and keep a continuous record of an abnormality in a physiological rhythm, especially in the activity of the heart."
http://purl.org/utmb/ndkg.owl#KGN_0000427	Standards/Requirements	"NASA documents (in HSRB DAGs, usually refers to the NASA STD 3001 Vol 1 and Vol 2) that contain common and repeated use of rules, conditions, guidelines, or characteristics for products or related processes and production methods and related management system practices. Requirements are usually much more detailed """"children"""" of these Standards and are negotiated with the Space flight Programs and HMTA at the onset of the Program. """
http://purl.org/utmb/ndkg.owl#KGN_0000305	Dust Suspension	The process of dust within a habitable volume rising into the breathing zone.
http://purl.org/utmb/ndkg.owl#KGN_0000426	Staged Denitrogenation	Gradual or phased reduction of nitrogen in lungs and body tissues by breathing gases devoid of nitrogen.
http://purl.org/utmb/ndkg.owl#KGN_0000309	Effective Exposure Duration	Length of time of exposure to a hazard or other node.
http://purl.org/utmb/ndkg.owl#KGN_0000461	Immune (Risk)	Risk of Adverse Health Event Due To Altered Immune Response;
http://purl.org/utmb/ndkg.owl#KGN_0000460	Detect Bone Density Changes	"Ability to identify, measure and report changes in bone mineral distribution in a 2D image (g/cm 2 ) or 3D volume (g/cm 3 ) of bone tissue over time."
http://purl.org/utmb/ndkg.owl#KGN_0000223	Autonomous Systems	"The combination of elements that function together to produce the capability to meet a need that under specified conditions, functions without intervention by the crew."
http://purl.org/utmb/ndkg.owl#KGN_0000344	In Mission Shelf Life	The period from when a medication is packaged for a mission to the time of it's stated beyond use or expiration date.
http://purl.org/utmb/ndkg.owl#KGN_0000465	Rhabdomyolysis Treatment	"Medical management and care for the destruction or degeneration of muscle tissue (as from traumatic injury, excessive exertion, or stroke)."
http://purl.org/utmb/ndkg.owl#KGN_0000222	Atmospheric Scrubbers	"Life support equipment that removes metabolic, offgassing, and other contaminants from breathable air."
http://purl.org/utmb/ndkg.owl#KGN_0000343	Inflight Hearing Exams	"Audiometric testing that evaluates the structure, function, and changes of the auditory system."
http://purl.org/utmb/ndkg.owl#KGN_0000464	Medical (Risk)	"Risk of Adverse Health Outcomes and Decrements in Performance Due to Medical Conditions that occur in Mission, as well as Long Term Health Outcomes Due to Mission Exposures."
http://purl.org/utmb/ndkg.owl#KGN_0000221	Astronaut Selection	The Astronaut Candidate selection process was developed to select highly qualified individuals for human space programs. Astronaut Candidates are selected on an as needed basis. Both civilian and military personnel are considered for the program.
http://purl.org/utmb/ndkg.owl#KGN_0000342	Incapacitation/Crew Rescue	"Injuries sustained by a crewmember during an extravehicular activity that prevent the affected crewmember from continuing independent operations, and which would require support from other suited crew to avert mission level outcomes."
http://purl.org/utmb/ndkg.owl#KGN_0000463	Hypoxia (Risk)	Risk of Reduced Crew Health and Performance Due to Hypoxia.
http://purl.org/utmb/ndkg.owl#KGN_0000341	Impedance Factors	Factors that oppose an electrical circuits current impeding the flow of the charge.
http://purl.org/utmb/ndkg.owl#KGN_0000462	Atmospheric Mixing	"The process of maintaining the correct balance of oxygen, nitrogen, water vapor, and carbon dioxide (CO2) in an enclosed environment."
http://purl.org/utmb/ndkg.owl#KGN_0000337	Hostile Closed Environment	A sealed habitable volume and environmental system that does not rely on matter exchange with any part outside the system.
http://purl.org/utmb/ndkg.owl#KGN_0000215	Ambient CO2 level	Concentration of carbon dioxide (CO2) in occupied spaces with air exchange; the distributed cabin CO2 level.
http://purl.org/utmb/ndkg.owl#KGN_0000336	Helmet/Protective Visors	"Coverings, films, or filters designed into spacesuit visors that may provide protection from environmental factors."
http://purl.org/utmb/ndkg.owl#KGN_0000457	Void Trial	Measure of the ability of the bladder to empty.
http://purl.obolibrary.org/obo/NCIT_C17705	Training	"Training is teaching, or developing in oneself or others, any skills and knowledge or fitness that relate to specific useful competencies. Training has specific goals of improving one's capability, capacity, productivity and performance."
http://purl.org/utmb/ndkg.owl#KGN_0000214	Airlock Design	An airtight room with two entrances that provides an isolated volume for transfer between a pressurized vehicle and the vacuum of space.
http://purl.org/utmb/ndkg.owl#KGN_0000335	Hearing Countermeasures	A means to offset undesirable physical effects to hearing hazards.
http://purl.org/utmb/ndkg.owl#KGN_0000456	Vehicle Failure	Compromised function of the vehicle system.
http://purl.org/utmb/ndkg.owl#KGN_0000213	Air Contamination	Harmful or poisonous substances affecting air quality within the vehicle or habitat in-mission.
http://purl.org/utmb/ndkg.owl#KGN_0000334	Hardware/System Failure	"An event or interaction that results in the vehicle system not functioning nominally or safely, with the potential for downstream consequences."
http://purl.org/utmb/ndkg.owl#KGN_0000455	Vehicle Dynamics	Angular and linear accelerations of a vehicle.
http://purl.org/utmb/ndkg.owl#KGN_0000218	Arc Flash/Sparking	Arc flash is a type of electrical explosion or discharge that results from a connection through air to ground or another voltage phase in an electrical system. · Arc - a high temperature luminous electrical discharge across a gap · Spark - a small incandescent particle created by some arcs
http://purl.org/utmb/ndkg.owl#KGN_0000339	Human Electrical Contact	The contact between a human and anything electrical that can cause an electrical shock to the human.
http://purl.org/utmb/ndkg.owl#KGN_0000338	Human Error	"Either an action that is not intended or desired by the person or a failure on the part of the person to perform a prescribed action within specified limits of accuracy, sequence, or time that does not produce the expected result and has led or has the potential to lead to an unwanted consequence."
http://purl.org/utmb/ndkg.owl#KGN_0000459	Pharm (Risk)	Risk of Ineffective or Toxic Medications During Long- Duration Exploration Space flight.
http://purl.obolibrary.org/obo/NCIT_C25206	Temperature	The degree or intensity of heat present in a substance or object; an environmental factor which may contribute to several Risks.
http://purl.org/utmb/ndkg.owl#KGN_0000450	Urinary Muscle Changes	"Alterations in muscle function due to altered gravity environment, side effects of medications, etc."
http://purl.org/utmb/ndkg.owl#KGN_0000212	Acoustics (Risk)	Risk of Reduced Physical Performance Capabilities Due to Reduced Aerobic Capacity.
http://purl.org/utmb/ndkg.owl#KGN_0000454	Urine Flow	The ability for urine to flow normally through the urinary tract.
http://purl.org/utmb/ndkg.owl#KGN_0000211	Absorption	Absorption is the journey of a drug travelling from the site of administration to the site of action.
http://purl.org/utmb/ndkg.owl#KGN_0000332	Flight Recertification	Evaluation of a crewmember’s physical or mental health after a mission to assist in determination of ability to return to flight.
http://purl.org/utmb/ndkg.owl#KGN_0000453	Urine Concentration	The state of saturation of urine relative to water content.
http://purl.org/utmb/ndkg.owl#KGN_0000210	Water Contamination	Harmful or poisonous substances affecting water quality within the vehicle or habitat in-mission.
http://purl.org/utmb/ndkg.owl#KGN_0000452	Urinary Retention (Risk)	Risk of Urinary Retention.
http://purl.obolibrary.org/obo/OMIT_0010431	Percutaneous Nephrostomy	"A percutaneous nephrostomy is the placement of a small, flexible tube (catheter) through your skin into your kidney to drain your urine. It is inserted through your back or flank."
http://purl.org/utmb/ndkg.owl#KGN_0000326	Exercise Hardware	Equipment or systems designed to perform aerobic and resistive training stimuli needed to maintain health and performance that enables successful mission task performance.
http://purl.org/utmb/ndkg.owl#KGN_0000447	Tox (Risk)	Risk of Toxic Exposure.
http://purl.org/utmb/ndkg.owl#KGN_0000204	Vision and Gaze Control	"Vision is the ability to see and gaze control is the ability to orient the eyes, and maintain fixation, on a desired visual target."
http://purl.org/utmb/ndkg.owl#KGN_0000325	Evacuation	"Emergency evacuation is an immediate egress or escape of people away from an area that contains an imminent threat, an ongoing threat or a hazard to lives or property."
http://purl.org/utmb/ndkg.owl#KGN_0000446	Technical Training	Training focused on technical skills needed to perform tasks in space.
http://purl.org/utmb/ndkg.owl#KGN_0000203	Vibration Isolation System	Passive or active mechanical interface between the exercise device and the vehicle to isolate the exercise system and eliminate/attenuate exercise reaction loads transmitted to the vehicle
http://purl.org/utmb/ndkg.owl#KGN_0000445	Team Training	Training focused on team skills for living and working together in space.
http://snomed.info/id/389086002	Hypoxia	Hypoxia is a state in which oxygen is not available in sufficient amounts at the tissue level to maintain adequate homeostasis; this can result from inadequate oxygen delivery to the tissues either due to low blood supply or low oxygen content in the blood (hypoxemia).
http://purl.org/utmb/ndkg.owl#KGN_0000202	Vestibular Motor Neuron Change	"Vestibular neurons adapt to reduced or increased firing rates and become more, or less, sensitive"
http://purl.org/utmb/ndkg.owl#KGN_0000323	Estimated Mission Radiation Dose	"Estimated amount of radiation dose for a particular design reference mission category (length of a mission, distance from Earth, etc.)."
http://purl.org/utmb/ndkg.owl#KGN_0000444	Team Skills	Skills that enable team functioning and performance.
http://purl.org/utmb/ndkg.owl#KGN_0000209	Waste Management System	"The combination of elements that function together to produce the capability to facilitate the clean, efficient, and reliable collection and management of human waste (urine, feces, vomitus, and menses)."
http://purl.obolibrary.org/obo/NCIT_C84973	Orthostatic Intolerance	A means to offset undesirable effects of orthostatic intolerance.
http://purl.org/utmb/ndkg.owl#KGN_0000208	VTE (Concern)	Concern of Venous Thromboembolism (VTE).
http://purl.org/utmb/ndkg.owl#KGN_0000329	Extraterrestrial Surface	Celestial bodies existing or occurring outside the earth or its atmosphere.
http://purl.org/utmb/ndkg.owl#KGN_0000207	Visual Fields Test	Ophthalmic diagnostic test which detects defects in central and peripheral vision.
http://purl.org/utmb/ndkg.owl#KGN_0000328	External Contaminants	Harmful or poisonous substances on the outside of a spacecraft that may enter the habitable volume via suit contamination during EVA or docking of visiting vehicles.
http://purl.org/utmb/ndkg.owl#KGN_0000449	Treatment Decision	Determination of need to manage and provide care for crew with medications or procedures during a space flight mission.
http://purl.org/utmb/ndkg.owl#KGN_0000327	Exercise Prescription	"Planned, structured, repetitive, and purposeful activities that involve progressive modifications over time for frequency, intensity, time, and volume."
http://purl.org/utmb/ndkg.owl#KGN_0000448	Trapped Radiation	Charged particles trapped by Earth's magnetic field.
